Year,Senate,House,President_p,President
1861–1863 ,R ,R ,R ,Lincoln
1863–1865 ,R ,R ,R ,Lincoln
1865–1867,R,R,D,A. Johnson
1867–1869,R,R,D,A. Johnson
1869–1871 ,R ,R ,R ,Grant
1871–1873 ,R ,R ,R ,Grant
1873–1875 ,R ,R ,R ,Grant
1875–1877,R,D,R,Grant
1877–1879,R,D,R,Hayes
1879–1881,D,D,R,Hayes
1881–1883 ,R ,R ,R,Garfield/Arthur
1883–1885,R,D,R,Arthur
1885–1887,R,D,D,Cleveland
1887–1889,R,D,D,Cleveland
1889–1891 ,R ,R ,R ,Harrison
1891–1893,R,D,R,Harrison
1893–1895 ,D ,D ,D ,Cleveland
1895–1897,R,R,D,Cleveland
1897–1899 ,R ,R ,R ,McKinley
1899–1901 ,R ,R ,R ,McKinley
1901–1903 ,R ,R ,R ,McKinley/T. Roosevelt
1903–1905 ,R ,R ,R ,T. Roosevelt
1905–1907 ,R ,R ,R ,T. Roosevelt
1907–1909 ,R ,R ,R ,T. Roosevelt
1909–1911 ,R ,R ,R ,Taft
1911–1913,R,D,R,Taft
1913–1915 ,D ,D ,D ,Wilson
1915–1917 ,D ,D ,D ,Wilson
1917–1919 ,D ,D ,D,Wilson
1919–1921,R,R,D,Wilson
1921–1923 ,R ,R ,R ,Harding
1923–1925 ,R ,R ,R ,Harding/Coolidge
1925–1927 ,R ,R ,R ,Coolidge
1927–1929 ,R ,R ,R ,Coolidge
1929–1931 ,R ,R ,R ,Hoover
1931–1933,R,D,R,Hoover
1933–1935 ,D ,D ,D ,F. Roosevelt
1935–1937 ,D ,D ,D ,F. Roosevelt
1937–1939 ,D ,D ,D ,F. Roosevelt
1939–1941 ,D ,D ,D ,F. Roosevelt
1941–1943 ,D ,D ,D ,F. Roosevelt
1943–1945 ,D ,D ,D ,F. Roosevelt
1945–1947 ,D ,D ,D ,F. Roosevelt/Truman
1947–1949,R,R,D,Truman
1949–1951 ,D ,D ,D ,Truman
1951–1953 ,D ,D ,D ,Truman
1953–1955 ,R ,R ,R,Eisenhower
1955–1957,D,D,R,Eisenhower
1957–1959,D,D,R,Eisenhower
1959–1961,D,D,R,Eisenhower
1961–1963 ,D ,D ,D ,Kennedy
1963–1965 ,D ,D ,D ,Kennedy/Johnson
1965–1967 ,D ,D ,D ,Johnson
1967–1969 ,D ,D ,D ,Johnson
1969–1971,D,D,R,Nixon
1971–1973,D,D,R,Nixon
1973–1975,D,D,R,Nixon/Ford
1975–1977,D,D,R,Ford
1977–1979 ,D ,D ,D ,Carter
1979–1981 ,D ,D ,D ,Carter
1981–1983,R,D,R,Reagan
1983–1985,R,D,R,Reagan
1985–1987,R,D,R,Reagan
1987–1989,D,D,R,Reagan
1989–1991,D,D,R,G.H.W. Bush
1991–1993,D,D,R,G.H.W. Bush
1993–1995 ,D ,D ,D ,Clinton
1995–1997,R,R,D,Clinton
1997–1999,R,R,D,Clinton
1999–2001,R,R,D,Clinton
2001–2003,D,R,R,G.W. Bush
2003–2005 ,R ,R ,R ,G.W. Bush
2005–2007 ,R ,R ,R ,G.W. Bush
2007–2009,D,D,R,G.W. Bush
2009–2011 ,D ,D ,D ,Obama
2011–2013,D,R,D,Obama
2013–2015,D,R,D,Obama
2015–2017,R,R,D,Obama
2017–2019 ,R ,R ,R ,Trump
2019–2021,R,D,R,Trump
2021–2023 ,D ,D ,D,Biden
2023–2025,D,R,D,Biden
